"YEAR","SECTION","QUESTION_NUMBER","QUESTION_TEXT","QUESTION_TYPE","MARKS","DIFFICULTY_LABEL","TOPIC","ANSWER_TEXT"
"2017","Section A (C++)","1a","Write the type of C++ tokens (keywords and user defined identifiers) from the following: (i) new (ii) While (iii) case (iv) Num_2","Short Answer","2","medium","C++ Basics - Tokens","(i) new - Keyword (ii) While - User defined Identifier (iii) case - Keyword (iv) Num_2 - User defined Identifier"
"2017","Section A (C++)","1b","Anil typed C++ code with errors: (i) Function strlen should have prototype (ii) Undefined symbol cout (iii) Undefined symbol endl. Write the names of the header files needed for successful compilation of the code using strlen and cout.","Very Short Answer","1","easy","C++ Basics - Header Files","string.h and iostream.h (or fstream.h or iomanip.h)"
"2017","Section A (C++)","1c","Rewrite the following C++ code after removing any/all syntactical errors: void main(){ cout<<'Enter an Alphabet:'; cin>>CH; switch(CH) case 'A' cout<<'Ant'; Break; case 'B' cout<<'Bear'; Break; }","Short Answer","2","medium","C++ Basics - Syntax Errors","Errors: (1) char CH; missing declaration (2) Missing { } braces for switch block (3) Missing colons after case 'A' and case 'B' (4) Break should be break (lowercase)"
"2017","Section A (C++)","1d","Find and write the output of the following C++ program code using #define Diff(N1,N2) and array NUM[]={10,23,14,54,32} with loop from CNT=4 to CNT>0.","Short Answer","2","medium","C++ Basics - Macros and Arrays","22#40#9#13#"
"2017","Section A (C++)","1e","Find and write the output of the following C++ program code using pointer *Point and Score[]={100,95,150,75,65,120} with modulo operations.","Short Answer","3","medium","C++ Basics - Pointers and Arrays","12*63*73*15*93*10*"
"2017","Section A (C++)","1f","Look at the C++ code using random(3) and random(4) with a 3x3 DOCK array. Find the possible outputs and maximum values of N and M.","Short Answer","2","medium","C++ Basics - Random and Arrays","Correct Options: (ii) and (iii). Maximum value of N = 2, Maximum value of M = 3"
"2017","Section A (C++)","2a","Differentiate between protected and private members of a class in context of OOP. Also give a suitable example illustrating accessibility/non-accessibility of each using a class and object in C++.","Short Answer","2","medium","OOP - Access Specifiers","private: Implicit visibility, not accessible to derived class member functions. protected: Explicit visibility, accessible to derived class member functions. Example: class A { int X; protected: int Y; public: void Z(); };"
"2017","Section A (C++)","2b(i)","Which Object Oriented Programming feature is illustrated by Member Function 1 (default constructor) and Member Function 2 (copy constructor) together in the class TEST?","Very Short Answer","1","easy","OOP - Polymorphism","Polymorphism OR Constructor Overloading OR Function Overloading"
"2017","Section A (C++)","2b(ii)","Write Statement 1 and Statement 2 to execute Member Function 1 (default constructor) and Member Function 2 (copy constructor) of class TEST respectively.","Very Short Answer","1","easy","OOP - Constructors","Statement 1: TEST T1; (executes default constructor) Statement 2: TEST T2(T1); or TEST T2=T1; (executes copy constructor)"
"2017","Section A (C++)","2c","Write the definition of a class BOX in C++ with private members BoxNumber (int), Side (float), Area (float), ExecArea() and public members GetBox() and ShowBox().","Long Answer","4","hard","OOP - Class Definition","class BOX { int BoxNumber; float Side; float Area; void ExecArea(){ Area=Side*Side; } public: void GetBox(); void ShowBox(); }; void BOX::GetBox(){ cin>>BoxNumber>>Side; ExecArea(); } void BOX::ShowBox(){ cout<<BoxNumber<<' '<<Side<<' '<<Area<<endl; }"
