YEAR,SECTION,QUESTION_NUMBER,QUESTION_TEXT,QUESTION_TYPE,MARKS,DIFFICULTY_LABEL,TOPIC,ANSWER_TEXT
2017,Section A (C++),1a,Write the type of C++ tokens (keywords and user defined identifiers) from the following: (i) new (ii) While (iii) case (iv) Num_2,Short Answer,2.0,easy,C++ Basics - Tokens,(i) new - Keyword (ii) While - User defined Identifier (iii) case - Keyword (iv) Num_2 - User defined Identifier
2017,Section A (C++),1b,Anil typed C++ code with errors: (i) Function strlen should have prototype (ii) Undefined symbol cout (iii) Undefined symbol endl. Write the names of the header files needed for successful compilation of the code using strlen and cout.,Very Short Answer,1.0,easy,C++ Basics - Header Files,string.h and iostream.h (or fstream.h or iomanip.h)
2017,Section A (C++),1c,Rewrite the following C++ code after removing any/all syntactical errors: void main(){ cout<<'Enter an Alphabet:'; cin>>CH; switch(CH) case 'A' cout<<'Ant'; Break; case 'B' cout<<'Bear'; Break; },Short Answer,2.0,medium,C++ Basics - Syntax Errors,Errors: (1) char CH; missing declaration (2) Missing { } braces for switch block (3) Missing colons after case 'A' and case 'B' (4) Break should be break (lowercase)
2017,Section A (C++),1d,"Find and write the output of the following C++ program code using #define Diff(N1,N2) and array NUM[]={10,23,14,54,32} with loop from CNT=4 to CNT>0.",Short Answer,2.0,medium,C++ Basics - Macros and Arrays,22#40#9#13#
2017,Section A (C++),1e,"Find and write the output of the following C++ program code using pointer *Point and Score[]={100,95,150,75,65,120} with modulo operations.",Short Answer,3.0,medium,C++ Basics - Pointers and Arrays,12*63*73*15*93*10*
2017,Section A (C++),1f,Look at the C++ code using random(3) and random(4) with a 3x3 DOCK array. Find the possible outputs and maximum values of N and M.,Short Answer,2.0,medium,C++ Basics - Random and Arrays,"Correct Options: (ii) and (iii). Maximum value of N = 2, Maximum value of M = 3"
2017,Section A (C++),2a,Differentiate between protected and private members of a class in context of OOP. Also give a suitable example illustrating accessibility/non-accessibility of each using a class and object in C++.,Short Answer,2.0,medium,OOP - Access Specifiers,"private: Implicit visibility, not accessible to derived class member functions. protected: Explicit visibility, accessible to derived class member functions. Example: class A { int X; protected: int Y; public: void Z(); };"
2017,Section A (C++),2b(i),Which Object Oriented Programming feature is illustrated by Member Function 1 (default constructor) and Member Function 2 (copy constructor) together in the class TEST?,Very Short Answer,1.0,easy,OOP - Polymorphism,Polymorphism OR Constructor Overloading OR Function Overloading
2017,Section A (C++),2b(ii),Write Statement 1 and Statement 2 to execute Member Function 1 (default constructor) and Member Function 2 (copy constructor) of class TEST respectively.,Very Short Answer,1.0,easy,OOP - Constructors,Statement 1: TEST T1; (executes default constructor) Statement 2: TEST T2(T1); or TEST T2=T1; (executes copy constructor)
2017,Section A (C++),2c,"Write the definition of a class BOX in C++ with private members BoxNumber (int), Side (float), Area (float), ExecArea() and public members GetBox() and ShowBox().",Long Answer,4.0,hard,OOP - Class Definition,class BOX { int BoxNumber; float Side; float Area; void ExecArea(){ Area=Side*Side; } public: void GetBox(); void ShowBox(); }; void BOX::GetBox(){ cin>>BoxNumber>>Side; ExecArea(); } void BOX::ShowBox(){ cout<<BoxNumber<<' '<<Side<<' '<<Area<<endl; }
2017,Section A (C++),2d(i),"Which type of Inheritance is illustrated in the given example with classes First, Second (private First), and Third (public Second)?",Very Short Answer,1.0,easy,OOP - Inheritance,Multilevel Inheritance
2017,Section A (C++),2d(ii),Write the names of all the member functions which are directly accessible by the object T of class Third as declared in main().,Very Short Answer,1.0,easy,OOP - Inheritance and Access,"Enter2(), Display() of class Second; Enter3(), Display() of class Third"
2017,Section A (C++),2d(iii),Write Statement 2 to call function Display() of class Second from the object T of class Third.,Very Short Answer,1.0,easy,OOP - Inheritance,T.Second::Display();
2017,Section A (C++),2d(iv),What will be the order of execution of the constructors when the object T of class Third is declared inside main()?,Very Short Answer,1.0,easy,OOP - Constructors and Inheritance,"First, Second, Third"
2017,Section A (C++),3a,"Write the definition of a function AddUp(int Arr[], int N) in C++ where all even positions (0,2,4,...) should be added with the next element and odd positions (1,3,5,...) should be incremented by 10.",Long Answer,3.0,hard,Arrays and Functions,"void AddUp(int Arr[], int N){ for(int i=0; i<N; i++){ if(i%2==0) Arr[i]=Arr[i]+Arr[i+1]; else Arr[i]=Arr[i]+10; } }"
2017,Section A (C++),3b,"Write a definition for function SUMMIDCOL(int MATRIX[][10], int N, int M) in C++ to find the sum of the middle column's elements of the MATRIX.",Short Answer,2.0,medium,Arrays and Functions - 2D Arrays,"void SUMMIDCOL(int MATRIX[][10],int N,int M){ int mid=M/2; int sum=0; for(int i=0;i<N;i++){ sum=sum+MATRIX[i][mid]; } cout<<'Sum of Middle Column'<<sum; }"
2017,Section A (C++),3c,ARR[15][20] is stored in row major order with each element occupying 4 bytes. Find the address of ARR[5][15] if ARR[10][5] is at memory location 35000.,Long Answer,3.0,hard,Arrays - Memory Address Calculation,BaseAddress = 35000 - 4*(10*20+5) = 34180. LOC(ARR[5][15]) = 34180 + 4*(5*20+15) = 34180 + 460 = 34640
2017,Section A (C++),3d,Write the definition of a member function PUSHGIFT() for a class STACK in C++ to add a GIFT in a dynamically allocated stack.,Long Answer,4.0,hard,Data Structures - Stack (Linked),void STACK::PUSHGIFT(){ GIFT *T = new GIFT; cin>>T->GCODE; gets(T->GDESC); T->Link = TOP; TOP = T; }
2017,Section A (C++),3e,Convert the following Infix expression to its equivalent Postfix expression showing stack contents: X - ( Y + Z ) / U * V,Short Answer,2.0,easy,Data Structures - Stack (Infix to Postfix),Postfix: XYZ+U/V*-
2017,Section A (C++),4a,Write a function definition for PURETEXT() in C++ to display the corrected version of file MYNOTES.TXT with all 'K' displayed as 'C'.,Long Answer,3.0,hard,File Handling - Text Files,void PURETEXT(){ char ch; ifstream F('MYNOTES.TXT'); while(F.get(ch)){ if(ch=='K') ch='C'; cout<<ch; } F.close(); }
2017,Section A (C++),4b,Write a definition for function COUNTPICS() in C++ to read binary file PHOTOS.DAT and display total number of PHOTOS of type PORTRAIT.,Short Answer,2.0,medium,File Handling - Binary Files,"void COUNTPICS(){ ifstream F; F.open('PHOTOS.DAT',ios::binary); int count=0; PHOTOS obj; while(F.read((char*)&obj,sizeof(obj))){ if(strcmp(obj.GETPTYPE(),'PORTRAIT')==0) count++; } cout<<'Number of PORTRAIT photos :'<<count; }"
2017,Section A (C++),4c,"Find the output of C++ code that opens CLIENTS.DAT (200 clients), seeks to position 6*sizeof(C), reads a record, and outputs File.tellg()/sizeof(C)+1 and File.tellg()/sizeof(C).",Very Short Answer,1.0,easy,File Handling - Binary Files (seekg/tellg),Client Number 8 of 200
2017,Section B (Python),1a,Which of the following can be used as valid variable identifier(s) in Python? (i) 4thSum (ii) Total (iii) Number# (iv) _Data,Short Answer,2.0,medium,Python Basics - Identifiers,Valid identifiers: (ii) Total and (iv) _Data. 4thSum starts with digit and Number# has special character - both invalid.
2017,Section B (Python),1b,Name the Python Library modules which need to be imported to invoke: (i) floor() (ii) randint(),Very Short Answer,1.0,easy,Python Basics - Library Modules,(i) floor() - math module (ii) randint() - random module
2017,Section B (Python),1c,"Rewrite the following Python code after removing all syntax errors: STRING=""""WELCOME NOTE"""" for S in range[0,8]: print STRING(S) print S+STRING",Short Answer,2.0,medium,Python Basics - Syntax Errors,"STRING='WELCOME' NOTE='' for S in range(0,8): print STRING[S] print S,STRING. Also range(0,8) gives runtime error; should be range(0,7)"
2017,Section B (Python),1d,"Find and write the output: TXT=[20,50,30,40], CNT=3, TOTAL=0, loop C in [7,5,4,6], T=TXT[CNT], TOTAL=float(T)+C, print TOTAL, CNT-=1",Short Answer,2.0,medium,Python Basics - Lists and Loops,"47.0
35.0
54.0
26.0"
2017,Section B (Python),1e,"Find and write the output of Python code using class INVENTORY with __init__, Procure, Issue, Status methods and objects I1, I2, I3.",Short Answer,3.0,medium,Python OOP - Classes and Objects,"101 : Pad # 125
102 : U Clip # 150
105 : Thumb Pin # 35"
2017,Section B (Python),1f,"Find the possible output(s) from code using random.randint(1,3) and NAV list with loop. Also specify max and min values of NUM.",Short Answer,2.0,medium,Python Basics - Random,"(i) BACKRIGHT is the correct option. Max value of NUM=3, min value=1. OR: I or N not defined (NameError)."
