year,section,question_number,question_text,question_type,marks,difficulty_label,topic,answer_text
2025,Section A,1,State True or False: A Python List must always contain all its elements of same data type.,Very Short Answer,1,easy,Python,False
2025,Section A,2,What will be the output of the following statement? print(14%3**2*4) (A) 16 (B) 64 (C) 20 (D) 256,MCQ,1,easy,Python,(C) 20
2025,Section A,3,Identify the correct output of the following code snippet: game='Olympic2024' print(game.index('C')) (A) 0 (B) 6 (C) -1 (D) ValueError,MCQ,1,easy,Python,(D) ValueError
2025,Section A,4,Which of the following is the correct identifier? (A) global (B) Break (C) def (D) with,MCQ,1,easy,Python,(B) Break
2025,Section A,5,"Identify the invalid Python statement out of the following options: (A) print('A',10,end='*') (B) print('A',sep='*',10) (C) print('A',10,sep='*') (D) print('A'*10)",MCQ,1,easy,Python,(B) print(
2025,Section A,6,"Consider the statements given below and then choose the correct output: L=['TIC', 'TAC'] print(L[::-1]) (A) ['CIT', 'CAT'] (B) ['TIC', 'TAC'] (C) ['CAT', 'CIT'] (D) ['TAC', 'TIC']",MCQ,1,easy,Python,(D) ['TAC'
2025,Section A,7,Which of the following operator evaluates to True if the variable on either side of the operator points towards the same memory location and False otherwise? (A) is (B) is not (C) and (D) or,MCQ,1,easy,Python,(A) is
2025,Section A,8,"Consider the statements given below and then choose the correct output: D={'S01':95, 'S02':96} for I in D: print(I,end='#') (A) S01#S02# (B) 95#96# (C) S01,95#S02,96# (D) S01#95#S02#96#",MCQ,1,easy,Python,(A) S01#S02#
2025,Section A,9,"While creating a table, which constraint does not allow insertion of duplicate values in the table? (A) UNIQUE (B) DISTINCT (C) NOT NULL (D) HAVING",MCQ,1,easy,SQL,(A) UNIQUE
2025,Section A,10,"Consider the statements given below and then choose the correct output: def Change(N): N=N+10 print(N,end='$$') N=15 Change(N) print(N) (A) 25$$15 (B) 15$$25 (C) 25$$25 (D) 2525$$",MCQ,1,easy,Python,(A) 25$$15
2025,Section A,11,"Consider the statements given below and then choose the correct output: N='5' try: print('WORD' + N, end='#') except: print('ERROR',end='#') finally: print('OVER') (A) ERROR# (B) WORD5#OVER (C) WORD5# (D) ERROR#OVER",MCQ,1,easy,Python,(B) WORD5#OVER
2025,Section A,12,Which of the following built-in function/method returns a dictionary? (A) dict() (B) keys() (C) values() (D) items(),MCQ,1,easy,Python,(A) dict()
2025,Section A,13,Which of the following is a DML command in SQL? (A) UPDATE (B) CREATE (C) ALTER (D) DROP,MCQ,1,easy,SQL,(A) UPDATE
2025,Section A,14,Which aggregate function in SQL displays the number of values in the specified column ignoring the NULL values? (A) len() (B) count() (C) number() (D) num(),MCQ,1,easy,SQL,(B) count()
2025,Section A,15,"In MYSQL, which type of value should not be enclosed within quotation marks? (A) DATE (B) VARCHAR (C) FLOAT (D) CHAR",MCQ,1,easy,SQL,(C) FLOAT
2025,Section A,16,"State True or False: If table A has 6 rows and 3 columns, and table B has 5 rows and 2 columns, the Cartesian product of A and B will have 30 rows and 5 columns.",Very Short Answer,1,easy,SQL,True
2025,Section A,17,Which of the following networking devices is used to regenerate and transmit the weakened signal ahead? (A) Hub (B) Ethernet Card (C) Repeater (D) Modem,MCQ,1,easy,Networking,(C) Repeater
2025,Section A,18,Which of the following options is the correct protocol used for phone calls over the Internet? (A) PPP (B) FTP (C) HTTP (D) VoIP,MCQ,1,easy,Networking,(D) VoIP
2025,Section A,19,Expand ARPANET.,Very Short Answer,1,easy,Networking,Advanced Research Projects Agency Network
